City,Region
ANCHORAGE,Southcentral
KENAI,Southcentral
MATSU,Southcentral
PALMER,Southcentral
WASILLA,Southcentral
CORDOVA,Southcentral
HOMER,Southcentral
VALDEZ,Southcentral
SEWARD,Southcentral
NIKISKI,Southcentral
SOLDOTNA,Southcentral
GLENNALLEN,Southcentral
HEALY,Southcentral
JOHNSON LAKE,Southcentral
BIRCHWOOD,Southcentral
MEADOW LAKES,Southcentral
TALKEETNA,Southcentral
PORT GRAHAM,Southcentral
KALTAG,Southcentral
MANLEY HOT SPRINGS,Southcentral
FAIRBANKS,Interior
NENANA,Interior
TANANA,Interior
CANTWELL,Interior
DELTA JUNCTION,Interior
EAGLE,Interior
NIKOLAI,Interior
FORT YUKON,Interior
JOHNSONS PASS,Interior
NORTHWAY,Interior
NORTH POLE,Interior
CLEAR,Interior
EIELSON AIR FORCE BASE,Interior
KETCHIKAN,Southeast
JUNEAU,Southeast
SITKA,Southeast
PETERSBURG,Southeast
HAINES,Southeast
WRANGELL,Southeast
HOONAH,Southeast
ANGOON,Southeast
SKAGWAY,Southeast
ELFIN COVE,Southeast
GUSTAVUS,Southeast
KAKE,Southeast
HYDABURG,Southeast
KLAWOCK,Southeast
THORNE BAY,Southeast
HAINES JUNCTION,Southeast
PORT ALLEN,Southeast
KODIAK,Southwest
BETHEL,Southwest
DILLINGHAM,Southwest
KING SALMON,Southwest
COLD BAY,Southwest
UNALASKA,Southwest
NIKOLSKI,Southwest
SAND POINT,Southwest
PERRYVILLE,Southwest
AKUTAN,Southwest
TUTTLE,Southwest
LARSEN BAY,Southwest
SHELDON POINT,Southwest
CHIGNIK,Southwest
NOME,Western Alaska
ST. MICHAEL,Western Alaska
SAINT PAUL,Western Alaska
SAINT GEORGE,Western Alaska
TELLER,Western Alaska
BUCKLAND,Western Alaska
NOORVIK,Western Alaska
SHUNGNAK,Western Alaska
KOBUK,Western Alaska
MARYS IGLOO,Western Alaska
SELDO,Western Alaska
ALAKANUK,Western Alaska
UNALAKLEET,Western Alaska
BARROW,North Slope
KAKTOVIK,North Slope
WAINWRIGHT,North Slope
POINT HOPE,North Slope
POINT LAY,North Slope
NUIQSUT,North Slope
CHUKCHI,North Slope
KIVALINA,North Slope
KOTZEBUE,Northwest Arctic
BUCKLAND,Northwest Arctic
NOORVIK,Northwest Arctic
SHUNGNAK,Northwest Arctic
KOBUK,Northwest Arctic
BIRCHWOOD,Southcentral
EAGLE,Interior
GUSTAVUS,Southeast
HOMER,Southcentral
HYDABURG,Southeast
JOHNSONS PASS,Interior
KLAWOCK,Southeast
MEADOW LAKES,Southcentral
PORT GRAHAM,Southcentral
ST. GEORGE ISLAND,Western Alaska
ST. LAWRENCE ISLAND,Western Alaska
TALKEETNA,Southcentral
TUTTLE,Southwest
UNALASKA,Southwest
WRANGELL,Southcentral
NORTHWAY,Interior
PORT ALLEN,Southeast
SITKA,Southwest
UNALAKLEET,Western Alaska
MANLEY HOT SPRINGS,Interior
TALKEETNA,Southcentral
NORTH POLE,Interior
CLEAR,Interior
EIELSON AIR FORCE BASE,Interior
LARSEN BAY,Southwest
PORT GRAHAM,Southcentral
CHIGNIK,Southwest
HOMER,Southcentral
GULKANA,Southcentral
SHELDON POINT,Southwest
ST. GEORGE ISLAND,Western Alaska
EAGLE RIVER,Southcentral
CLAM GULCH,Southcentral
CHUGIAK,Southcentral
CHISTOCHINA,Southcentral
ANCHOR POINT,Southcentral
HARDING LAKE,Interior
HUSTON,Southcentral
MCGRATH,Western Alaska
MONTANA CREEK,Southcentral
PETERS CREEK,Southcentral
ROBERTSON RIVER,Southcentral
SALCHA,Interior
THUNDERBIRD FALLS,Southcentral
WOOD RIVER,Southcentral
SHAW ISLAND,San Juan Islands
TIGARD OR,Lower 48
GLACIER VIEW,Southcentral